BIKE_SPEED,BIKE_COST,OCC_HOUR,OCC_DOW,OCC_DOY,OCC_DAY,OCC_YEAR,REPORT_DAY,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_COLOUR,PREMISES_TYPE,LOCATION_TYPE,HOOD_140,NEIGHBOURHOOD_140,OCC_HOUR_BIN,SEASON,COST_CATEGORY,x,y,IS_NIGHT,IS_WEEKEND
15.0,150.0,0,2,18,18,2014,18,1025,10645,3,55,3,35,118,129,3,3,4,0.9523775757303974,0.30492122465628907,1,1
21.0,350.0,14,4,9,9,2014,19,449,1457,3,11,4,30,92,32,0,3,4,0.9880226656636976,0.15430882066428117,0,0
21.0,2000.0,13,4,9,9,2014,21,566,10645,7,119,3,35,80,120,0,3,2,0.9880226656636976,0.15430882066428117,0,0
5.0,100.0,20,0,17,17,2014,21,176,10645,7,65,5,36,77,62,1,3,4,0.9574851883550393,0.288482432880609,1,0
14.0,3000.0,19,6,22,22,2014,22,985,8522,5,11,1,6,138,109,1,3,0,0.9291414114031743,0.3697245428906731,0,0
21.0,500.0,0,6,359,25,2013,22,985,10645,3,217,3,35,105,56,3,3,4,0.9946708199115211,-0.10310169744743544,1,0
21.0,950.0,0,6,359,25,2013,22,412,7849,5,11,3,35,105,56,3,3,1,0.9946708199115211,-0.10310169744743544,1,0
1.0,1800.0,12,3,5,5,2014,24,1194,9866,8,11,5,27,70,19,2,3,2,0.9962981749346078,0.08596479873744647,0,1
18.0,10000.0,18,2,25,25,2014,26,182,7818,5,11,1,19,76,123,0,3,3,0.9088176373395029,0.4171936026123168,0,1
10.0,0.0,19,5,28,28,2014,28,780,10645,3,11,0,0,110,103,1,3,3,0.886070621534138,0.4635502709028509,0,0
10.0,1100.0,17,1,27,27,2014,28,449,10645,7,217,5,27,70,19,0,3,2,0.893918596519257,0.4482293417404106,0,0
10.0,1600.0,17,1,27,27,2014,28,1073,10645,7,255,5,27,70,19,0,3,2,0.893918596519257,0.4482293417404106,0,0
18.0,1000.0,21,5,28,28,2014,28,1062,3670,5,37,5,27,103,83,1,3,1,0.886070621534138,0.4635502709028509,1,0
0.0,0.0,15,5,28,28,2014,29,223,10645,4,37,1,19,54,119,0,3,3,0.886070621534138,0.4635502709028509,0,0
10.0,1800.0,8,6,29,29,2014,30,741,10852,7,11,1,5,89,59,2,3,2,0.8779600847008882,0.47873384011578846,0,0
18.0,0.0,11,0,31,31,2014,1,776,6680,3,254,6,42,30,140,2,3,3,0.8609610158889943,0.5086709438521044,0,0
30.0,850.0,15,2,32,1,2014,2,780,9423,1,255,5,27,72,79,0,3,1,0.8520775211013093,0.5234156073655503,0,1
8.0,200.0,1,3,33,2,2014,2,449,1879,3,136,0,0,56,17,3,3,4,0.8429415373547828,0.5380051715382996,1,1
21.0,400.0,9,1,27,27,2014,4,1105,10905,7,136,3,35,92,32,2,3,4,0.893918596519257,0.4482293417404106,0,0
21.0,1400.0,19,1,34,3,2014,4,888,10204,3,119,4,30,38,9,1,3,2,0.8335557718385699,0.5524353131676196,0,0
1.0,2000.0,17,5,35,4,2014,5,780,381,8,37,0,0,84,110,0,3,2,0.8239230057575542,0.5667017562911176,0,0
24.0,500.0,15,0,31,31,2014,5,1030,2875,3,119,4,30,110,103,0,3,4,0.8609610158889943,0.5086709438521044,0,0
1.0,400.0,18,5,35,4,2014,5,852,7959,1,217,5,27,70,19,0,3,4,0.8239230057575542,0.5667017562911176,0,0
1.0,0.0,17,0,38,7,2014,7,780,10645,1,11,5,36,72,79,0,3,3,0.7935716089521474,0.6084768701151261,0,0
18.0,9423.0,8,2,25,25,2014,8,916,4301,5,254,1,19,75,6,2,3,3,0.9088176373395029,0.4171936026123168,0,1
21.0,2500.0,20,0,38,7,2014,9,924,8658,3,254,1,5,66,98,1,3,0,0.7935716089521474,0.6084768701151261,1,0
18.0,4000.0,20,0,38,7,2014,9,780,11066,5,255,1,5,66,98,1,3,0,0.7935716089521474,0.6084768701151261,1,0
22.0,3300.0,10,5,42,11,2014,11,985,3100,5,217,1,19,54,119,2,3,0,0.7498264012045686,0.6616346182422783,0,0
32.0,1750.0,18,6,1,1,2014,11,776,10535,1,274,0,0,75,6,0,3,2,0.9998518392091162,0.017213356155834685,0,0
1.0,1700.0,9,6,43,12,2014,12,776,3237,1,11,5,27,91,27,2,3,2,0.7383263540031065,0.6744436188329455,0,0
21.0,200.0,18,2,46,15,2014,15,549,10578,4,22,5,36,77,62,0,3,4,0.7025274741691571,0.7116566222817746,0,1
10.0,500.0,19,3,47,16,2014,16,846,7057,5,11,3,35,70,19,1,3,4,0.6901733882429719,0.7236440382959124,0,1
10.0,0.0,6,0,17,17,2014,17,780,239,8,254,5,36,63,134,3,3,3,0.9574851883550393,0.288482432880609,0,0
21.0,150.0,14,3,47,16,2014,17,254,10645,7,96,5,27,74,23,0,3,4,0.6901733882429719,0.7236440382959124,0,1
27.0,700.0,0,6,15,15,2014,17,629,7139,3,232,4,30,69,111,3,3,1,0.9668478136052775,0.255353295116187,1,0
30.0,1500.0,20,3,47,16,2014,17,324,10645,1,11,5,36,112,127,1,3,2,0.6901733882429719,0.7236440382959124,1,1
18.0,100.0,12,0,45,14,2014,17,830,5595,3,11,5,36,78,121,2,3,4,0.7146733860429609,0.699458327051647,0,0
10.0,0.0,10,4,51,20,2014,20,846,10645,3,217,1,8,125,31,2,3,3,0.6387494220515272,0.7694148268839378,0,0
2.0,0.0,23,6,50,19,2014,20,830,3234,7,37,3,35,80,120,1,3,4,0.6518989958787126,0.7583058084785624,1,0
1.0,2000.0,9,1,55,24,2014,24,302,10645,1,11,3,35,1,81,2,3,2,0.5842981736283684,0.8115390590073611,0,0
0.0,0.0,20,3,54,23,2014,24,780,10645,4,37,3,35,107,15,1,3,3,0.5981809144059165,0.8013610881746766,1,1
21.0,1400.0,0,2,18,18,2014,24,410,1522,3,11,0,0,75,6,3,3,2,0.9523775757303974,0.30492122465628907,1,1
1.0,0.0,20,1,55,24,2014,24,1011,10645,7,254,5,36,87,49,1,3,4,0.5842981736283684,0.8115390590073611,1,0
21.0,700.0,8,5,56,25,2014,26,985,460,4,11,5,36,74,23,2,3,1,0.5702422926917871,0.8214765533024142,0,0
7.0,250.0,12,6,331,27,2013,27,393,10645,10,217,0,0,77,62,2,0,4,0.8335557718385695,-0.5524353131676203,0,0
0.0,300.0,14,3,54,23,2014,1,682,10645,5,153,4,30,92,32,0,3,4,0.5981809144059165,0.8013610881746766,0,1
0.0,1000.0,14,3,54,23,2014,1,682,10645,5,153,4,30,92,32,0,3,1,0.5981809144059165,0.8013610881746766,0,1
10.0,1850.0,14,3,54,23,2014,1,985,8407,7,255,4,30,92,32,0,3,2,0.5981809144059165,0.8013610881746766,0,1
1.0,1500.0,20,1,62,3,2014,3,667,10645,4,11,4,20,71,101,1,1,2,0.48250774176121847,0.8758917051442429,1,0
16.0,800.0,21,5,63,4,2014,4,410,3976,3,11,1,19,61,35,1,1,1,0.4673592171580022,0.8840675099433636,1,0
21.0,80.0,19,1,62,3,2014,4,741,10645,3,217,5,36,74,23,1,1,4,0.48250774176121847,0.8758917051442429,0,0
1.0,2000.0,9,4,65,6,2014,6,324,8555,1,274,5,18,72,79,2,1,2,0.43665123195606403,0.8996308696522433,0,0
1.0,350.0,8,6,64,5,2014,6,776,2847,0,255,5,27,75,6,2,1,4,0.45207220393230435,0.8919813464595485,0,0
1.0,2000.0,20,6,64,5,2014,6,323,2094,1,1,0,0,74,23,1,1,2,0.45207220393230435,0.8919813464595485,1,0
1.0,550.0,8,6,64,5,2014,6,776,7350,0,11,5,27,75,6,2,1,1,0.45207220393230435,0.8919813464595485,0,0
24.0,500.0,10,6,64,5,2014,7,548,10601,7,11,5,36,72,79,2,1,4,0.45207220393230435,0.8919813464595485,0,0
21.0,400.0,10,0,66,7,2014,7,176,10645,3,35,3,35,67,89,2,1,4,0.4211008707960896,0.9070138128026359,0,0
18.0,2500.0,7,2,67,8,2014,8,776,11182,4,255,4,30,55,70,2,1,0,0.40542572835999735,0.9141279881853337,0,1
7.0,500.0,16,2,67,8,2014,8,776,10645,7,11,5,36,75,6,0,1,4,0.40542572835999735,0.9141279881853337,0,1
18.0,500.0,15,3,54,23,2014,9,846,5402,4,37,3,35,89,59,0,3,4,0.5981809144059165,0.8013610881746766,0,1
1.0,1600.0,22,2,67,8,2014,9,304,10645,8,255,5,36,94,3,1,1,2,0.40542572835999735,0.9141279881853337,1,1
27.0,700.0,15,0,66,7,2014,10,564,3405,7,119,5,36,75,6,0,1,1,0.4211008707960896,0.9070138128026359,0,0
10.0,200.0,19,1,69,10,2014,10,780,10535,3,119,0,0,73,90,1,1,4,0.37371971479046906,0.9275416835791966,0,0
20.0,2200.0,20,2,40,9,2013,10,372,5615,4,31,0,0,77,62,1,3,0,0.7721565844991642,0.6354323008901774,1,1
21.0,2000.0,9,2,67,8,2014,10,985,3950,4,11,5,27,70,19,2,1,2,0.40542572835999735,0.9141279881853337,0,1
18.0,400.0,17,1,69,10,2014,11,830,10645,7,136,4,30,88,107,0,1,4,0.37371971479046906,0.9275416835791966,0,0
21.0,300.0,17,1,69,10,2014,11,254,10645,3,217,4,30,88,107,0,1,4,0.37371971479046906,0.9275416835791966,0,0
32.0,500.0,22,1,69,10,2014,12,780,3133,8,11,1,19,72,79,1,1,4,0.37371971479046906,0.9275416835791966,1,0
21.0,400.0,11,6,15,15,2014,12,1105,4492,3,155,6,42,69,111,2,3,4,0.9668478136052775,0.255353295116187,0,0
1.0,500.0,19,2,67,8,2014,13,780,4503,8,217,5,36,121,12,1,1,4,0.40542572835999735,0.9141279881853337,0,1
21.0,1000.0,11,5,70,11,2014,13,769,4453,3,217,1,19,64,46,2,1,1,0.35769823883312546,0.9338372288229252,0,0
10.0,250.0,19,6,71,12,2014,13,1011,10645,5,11,4,13,94,3,1,1,4,0.3415707691678556,0.9398560579418954,0,0
0.0,500.0,0,3,75,16,2014,16,324,10645,1,11,5,36,73,90,3,1,4,0.27609697309746883,0.9611297838723007,1,1
10.0,300.0,9,3,75,16,2014,18,514,10645,4,11,3,35,46,30,2,1,4,0.27609697309746883,0.9611297838723007,0,1
6.0,0.0,17,5,77,18,2014,18,780,3251,1,11,0,0,74,23,0,1,3,0.2428497220959356,0.9700639218515071,0,0
7.0,300.0,17,6,78,19,2014,19,915,10645,7,163,2,45,74,23,0,1,4,0.22611568550828828,0.9741004551724205,0,0
1.0,895.0,13,4,79,20,2014,20,324,10645,1,11,5,36,70,19,0,1,1,0.20931464596304847,0.9778483415056568,0,0
12.0,200.0,21,1,69,10,2014,20,566,10645,3,217,3,35,103,83,1,1,4,0.37371971479046906,0.9275416835791966,1,0
4.0,1000.0,19,0,73,14,2014,21,422,5610,1,11,5,36,74,23,1,1,1,0.30901699437494745,0.9510565162951535,0,0
21.0,100.0,10,6,78,19,2014,21,412,10645,10,217,5,36,75,6,2,1,4,0.22611568550828828,0.9741004551724205,0,0
18.0,400.0,3,6,78,19,2014,21,1073,10317,3,230,3,35,55,70,3,1,4,0.22611568550828828,0.9741004551724205,1,0
18.0,300.0,3,6,78,19,2014,21,776,9215,3,217,3,35,55,70,3,1,4,0.22611568550828828,0.9741004551724205,1,0
18.0,200.0,9,0,80,21,2014,22,846,10645,4,258,4,30,107,15,2,1,4,0.19245158197082998,0.9813064702716093,0,0
10.0,932.25,0,3,82,23,2014,23,1117,339,1,11,5,36,94,3,3,1,1,0.15855938510313475,0.9873494423939864,1,1
20.0,1800.0,12,1,83,24,2014,24,324,10645,1,230,5,36,74,23,2,1,2,0.141540295217043,0.989932495087353,0,0
8.0,500.0,23,3,82,23,2014,24,566,2973,3,255,3,35,11,75,1,1,4,0.15855938510313475,0.9873494423939864,1,1
8.0,800.0,6,5,84,25,2014,25,741,2774,7,155,4,15,75,6,3,1,1,0.12447926388678915,0.9922222094179323,0,0
0.0,2500.0,0,2,11,11,2014,26,985,1644,1,119,1,19,76,123,3,3,0,0.9821256058680006,0.1882267098432442,1,1
18.0,0.0,7,4,79,20,2014,26,920,6517,3,255,5,27,54,119,2,1,3,0.20931464596304847,0.9778483415056568,0,0
5.0,3000.0,4,4,86,27,2014,27,324,5177,1,11,5,36,74,23,3,1,0,0.09025161003104117,0.995918996147179,1,0
3.0,2000.0,6,4,86,27,2014,27,1117,6082,1,11,5,27,53,91,3,1,2,0.09025161003104117,0.995918996147179,0,0
3.0,0.0,20,4,86,27,2014,27,1105,10645,4,11,1,6,77,62,1,1,4,0.09025161003104117,0.995918996147179,1,0
1.0,800.0,15,0,87,28,2014,28,776,7591,7,37,5,36,74,23,0,1,1,0.07309512989807777,0.9973249731081555,0,0
1.0,800.0,15,2,88,29,2014,29,324,10645,1,119,5,36,70,19,0,1,1,0.055916990100603484,0.9984354211555643,0,1
21.0,2000.0,18,5,77,18,2014,29,985,9503,3,230,3,35,55,70,0,1,2,0.2428497220959356,0.9700639218515071,0,0
1.0,1025.0,12,5,84,25,2014,30,324,5177,1,11,5,36,97,105,2,1,2,0.12447926388678915,0.9922222094179323,0,0
21.0,350.0,12,3,89,30,2014,30,915,10645,4,254,5,27,74,23,2,1,4,0.03872228089217446,0.9992500112396835,0,1
2.0,1050.0,16,3,89,30,2014,30,324,3712,1,37,3,35,64,46,0,1,2,0.03872228089217446,0.9992500112396835,0,1
10.0,0.0,0,3,335,1,2013,31,396,10645,3,254,5,27,50,130,3,3,3,0.8695893893466109,-0.49377555015997737,1,1
20.0,2500.0,7,5,84,25,2014,31,888,10790,3,227,4,30,107,15,2,1,0,0.12447926388678915,0.9922222094179323,0,0
21.0,200.0,17,3,89,30,2014,31,1011,7486,3,136,1,2,66,98,0,1,4,0.03872228089217446,0.9992500112396835,0,1
6.0,200.0,16,1,90,31,2014,31,780,10645,4,217,5,36,79,95,0,1,4,0.021516097436222254,0.9997685019798909,0,0
1.0,450.0,0,3,335,1,2013,1,368,2807,7,217,0,0,93,136,3,3,4,0.8695893893466109,-0.49377555015997737,1,1
5.0,1815.0,21,0,31,31,2014,1,324,1013,1,14,5,27,74,23,1,3,2,0.8609610158889943,0.5086709438521044,1,0
50.0,1300.0,19,5,91,1,2014,1,780,3735,1,171,5,36,68,14,1,1,2,0.004303538296244289,0.9999907397361901,0,0
1.0,1400.0,12,5,91,1,2014,1,304,7057,9,171,4,30,69,111,2,1,2,0.004303538296244289,0.9999907397361901,0,0
27.0,600.0,10,1,90,31,2014,2,449,939,3,11,6,42,13,58,2,1,1,0.021516097436222254,0.9997685019798909,0,0
21.0,1300.0,10,4,93,3,2014,3,566,4362,3,217,3,35,87,49,2,1,2,-0.030120304846908114,0.9995462806873573,0,0
0.0,4000.0,16,6,92,2,2014,3,780,10535,8,254,0,0,42,122,0,1,0,-0.01291029607500882,0.9999166586547379,0,0
32.0,1300.0,9,4,93,3,2014,3,776,990,1,255,2,33,68,14,2,1,2,-0.030120304846908114,0.9995462806873573,0,0
4.0,650.0,6,4,93,3,2014,3,422,983,1,181,3,35,64,46,3,1,1,-0.030120304846908114,0.9995462806873573,0,0
2.0,1000.0,6,0,94,4,2014,4,780,10645,8,255,3,35,70,19,3,1,1,-0.04732138832243185,0.9988797155850336,0,0
1.0,0.0,7,5,91,1,2014,4,780,10645,1,181,0,0,119,24,2,1,3,0.004303538296244289,0.9999907397361901,0,0
1.0,0.0,7,5,91,1,2014,4,780,10645,1,11,0,0,119,24,2,1,3,0.004303538296244289,0.9999907397361901,0,0
1.0,2484.8701171875,18,1,27,27,2014,4,1148,2568,1,11,0,0,74,23,0,3,0,0.893918596519257,0.4482293417404106,0,0
21.0,0.0,7,5,91,1,2014,4,780,10645,3,11,0,0,119,24,2,1,3,0.004303538296244289,0.9999907397361901,0,0
21.0,0.0,7,5,91,1,2014,4,780,10645,5,11,0,0,119,24,2,1,3,0.004303538296244289,0.9999907397361901,0,0
15.0,600.0,22,6,92,2,2014,4,830,3352,7,217,4,30,68,14,1,1,1,-0.01291029607500882,0.9999166586547379,1,0
21.0,0.0,7,5,91,1,2014,4,780,10645,3,254,0,0,119,24,2,1,3,0.004303538296244289,0.9999907397361901,0,0
0.0,1000.0,1,2,95,5,2014,5,780,10645,8,37,3,35,110,103,3,1,1,-0.06450844944931623,0.9979171608653922,1,1
1.0,1300.0,21,0,94,4,2014,5,850,10645,1,31,3,35,68,14,1,1,2,-0.04732138832243185,0.9988797155850336,1,0
7.0,500.0,22,0,94,4,2014,5,830,10645,7,171,0,0,83,71,1,1,4,-0.04732138832243185,0.9988797155850336,1,0
12.0,100.0,19,2,95,5,2014,6,1117,10645,3,134,5,36,74,23,1,1,4,-0.06450844944931623,0.9979171608653922,0,1
24.0,700.0,18,3,96,6,2014,7,564,3392,4,11,5,36,76,123,0,1,1,-0.08167639533042241,0.9966589017541702,0,1
18.0,860.0,14,1,77,18,2013,7,776,9250,5,217,5,27,81,88,0,1,1,0.2428497220959356,0.9700639218515071,0,0
4.0,70.0,14,4,65,6,2014,8,880,10645,3,136,5,36,74,23,0,1,4,0.43665123195606403,0.8996308696522433,0,0
1.0,1100.0,10,5,98,8,2014,8,776,1557,7,193,5,36,74,23,2,1,2,-0.11593459959550041,0.9932568492674143,0,0
21.0,1300.0,23,1,97,7,2014,8,412,3299,5,36,3,35,72,79,1,1,2,-0.09882013873287143,0.9951053111006976,1,0
10.0,800.0,13,5,98,8,2014,8,776,8777,5,217,5,36,74,23,0,1,1,-0.11593459959550041,0.9932568492674143,0,0
1.0,1300.0,15,5,98,8,2014,8,324,10645,4,11,5,36,74,23,0,1,2,-0.11593459959550041,0.9932568492674143,0,0
1.0,0.0,10,6,99,9,2014,9,324,10645,1,257,5,36,74,23,2,1,3,-0.1330147065341959,0.9911140639934547,0,0
18.0,200.0,2,5,98,8,2014,9,1011,9594,3,37,2,45,75,6,3,1,4,-0.11593459959550041,0.9932568492674143,1,0
11.0,3134.0,10,6,282,9,2013,9,629,9400,5,254,1,19,92,32,2,0,0,0.141540295217043,-0.989932495087353,0,0
40.0,1000.0,17,6,99,9,2014,9,985,986,1,55,1,19,79,95,0,1,1,-0.1330147065341959,0.9911140639934547,0,0
24.0,850.0,10,5,98,8,2014,9,1105,2179,10,255,1,19,76,123,2,1,1,-0.11593459959550041,0.9932568492674143,0,0
1.0,350.0,13,6,99,9,2014,9,776,3672,4,255,4,30,82,34,0,1,4,-0.1330147065341959,0.9911140639934547,0,0
1.0,4000.0,12,4,93,3,2014,9,376,247,8,217,5,36,84,110,2,1,0,-0.030120304846908114,0.9995462806873573,0,0
24.0,600.0,21,6,99,9,2014,10,749,6256,4,11,0,0,76,123,1,1,1,-0.1330147065341959,0.9911140639934547,1,0
1.0,700.0,21,4,100,10,2014,10,780,7298,5,230,5,36,77,62,1,1,1,-0.1500553983446526,0.9886775902323405,1,0
28.0,750.0,8,4,100,10,2014,11,410,3979,7,136,6,10,130,106,2,1,1,-0.1500553983446526,0.9886775902323405,0,0
30.0,900.0,15,4,100,10,2014,11,322,10645,1,217,0,0,74,23,0,1,1,-0.1500553983446526,0.9886775902323405,0,0
21.0,800.0,11,0,101,11,2014,11,1082,1233,4,119,5,36,103,83,2,1,1,-0.16705162550211924,0.9859481499638304,0,0
8.0,600.0,17,0,101,11,2014,11,1073,1115,7,230,5,18,74,23,0,1,1,-0.16705162550211924,0.9859481499638304,0,0
45.0,0.0,20,4,100,10,2014,11,1105,10645,7,230,3,35,57,94,1,1,3,-0.1500553983446526,0.9886775902323405,1,0
21.0,200.0,13,0,101,11,2014,11,769,738,0,11,4,16,75,6,0,1,4,-0.16705162550211924,0.9859481499638304,0,0
24.0,550.0,0,0,101,11,2014,11,412,8176,3,232,3,35,106,93,3,1,1,-0.16705162550211924,0.9859481499638304,1,0
0.0,1000.0,13,0,101,11,2014,11,559,10645,1,255,5,36,97,105,0,1,1,-0.16705162550211924,0.9859481499638304,0,0
27.0,800.0,10,2,102,12,2014,12,749,10840,4,136,5,36,75,6,2,1,1,-0.18399835165768005,0.9829265519799822,0,1
1.0,1464.75,10,3,96,6,2014,12,322,10645,1,11,4,15,75,6,2,1,2,-0.08167639533042241,0.9966589017541702,0,1
15.0,700.0,18,0,101,11,2014,12,880,3801,3,11,4,30,55,70,0,1,1,-0.16705162550211924,0.9859481499638304,0,0
12.0,2100.0,8,0,101,11,2014,12,1073,10645,5,217,0,0,75,6,2,1,0,-0.16705162550211924,0.9859481499638304,0,0
21.0,600.0,12,4,100,10,2014,12,549,9157,3,37,5,36,76,123,2,1,1,-0.1500553983446526,0.9886775902323405,0,0
3.0,962.760009765625,13,0,101,11,2014,12,1105,3602,1,217,0,0,26,139,0,1,1,-0.16705162550211924,0.9859481499638304,0,0
21.0,200.0,9,3,335,1,2013,12,176,865,3,37,4,30,107,15,2,3,4,0.8695893893466109,-0.49377555015997737,0,1
24.0,1000.0,12,4,243,30,2012,13,888,10645,3,11,5,27,13,58,2,2,1,-0.5049610547215202,-0.8631421280499115,0,0
1.0,72.0,19,0,73,14,2014,13,780,5816,4,37,1,19,54,119,1,1,4,0.30901699437494745,0.9510565162951535,0,0
9.0,700.0,12,3,103,13,2014,13,880,7991,7,119,5,18,81,88,2,1,1,-0.20089055513063506,0.9796136916454901,0,1
9.0,550.0,13,2,102,12,2014,13,830,8009,5,255,5,36,77,62,0,1,1,-0.18399835165768005,0.9829265519799822,0,1
21.0,400.0,17,3,103,13,2014,13,175,10645,3,255,4,30,93,136,0,1,4,-0.20089055513063506,0.9796136916454901,0,1
21.0,0.0,9,3,103,13,2014,14,776,10645,3,230,1,1,75,6,2,1,4,-0.20089055513063506,0.9796136916454901,0,1
1.0,600.0,17,3,103,13,2014,14,385,2807,7,36,5,36,80,120,0,1,1,-0.20089055513063506,0.9796136916454901,0,1
12.0,600.0,14,2,102,12,2014,14,846,8009,4,255,2,45,77,62,0,1,1,-0.18399835165768005,0.9829265519799822,0,1
15.0,50.0,23,0,319,15,2013,14,1105,10645,3,254,3,35,82,34,1,0,4,0.7025274741691566,-0.711656622281775,1,0
24.0,600.0,23,0,319,15,2013,14,410,7930,4,255,3,35,82,34,1,0,1,0.7025274741691566,-0.711656622281775,1,0
21.0,500.0,22,3,103,13,2014,14,613,2019,3,11,3,35,82,34,1,1,4,-0.20089055513063506,0.9796136916454901,1,1
18.0,719.0,14,2,102,12,2014,14,985,8217,4,31,2,45,77,62,0,1,1,-0.18399835165768005,0.9829265519799822,0,1
10.0,1500.0,12,1,104,14,2014,14,1073,88,5,37,2,45,74,23,2,1,2,-0.21772323039653177,0.9760105506323683,0,0
0.0,4200.0,10,2,271,28,2013,15,376,247,8,217,4,20,97,105,2,0,0,-0.04732138832243232,-0.9988797155850335,0,1
